INFO	?	main	2016-12-15T11:55:06.567Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:55:08.516Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:55:13.917Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:55:24.723Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:56:22.763Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/test/java/com/flexisaf/sdk/paystack/PaystackSDKTest.java]
INFO	?	main	2016-12-15T12:00:30.192Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/utils/JacksonJsonConverter.java]
WARNING	?	main	2016-12-15T12:00:37.388Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com
WARNING	?	main	2016-12-15T12:00:39.131Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T12:00:39.596Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T12:00:40.884Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk
WARNING	?	main	2016-12-15T12:00:43.815Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk.paystack
WARNING	?	main	2016-12-15T12:00:46.166Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk.paystack
